Country Code,Country,Net Trade Status,Price Control in 2021,Subsidy in 2021,Tax Reduction in 2021,Price Control in 2022,Subsidy in 2022,Tax Reduction in 2022,Price Control in 2023,Subsidy in 2023,Tax Reduction in 2023,Price Control in 2024,Subsidy in 2024,Tax Reduction in 2024,gdp data in 2020,gdp data in 2021,gdp data in 2022,gdp data in 2023,population data in 2020,population data in 2021,population data in 2022,population data in 2023,land area data in 2020,land area data in 2021,land area data in 2022,land area data in 2023,democracy index data in 2020,democracy index data in 2021,democracy index data in 2022,democracy index data in 2023
ALB,Albania ,1,0,1,0,1,1,0,1,1,0,0,1,0,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,2837849.0,2811666.0,2777689.0,2745972.0,27400.0,27400.0,27400.0,27400.0,6.08,6.11,6.41,6.28
DZA,Algeria ,2,1,2,0,1,2,0,1,2,0,1,2,0,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,44042091.0,44761099.0,45477389.0,46164219.0,2381740.0,2381740.0,2381740.0,2381740.0,3.77,3.77,3.66,3.66
AGO,Angola ,1,1,2,0,1,2,0,1,2,0,1,2,0,1449.92286669308,1925.87466082167,2929.69445467272,2309.53413042773,33451132.0,34532429.0,35635029.0,36749906.0,1246700.0,1246700.0,1246700.0,1246700.0,3.66,3.37,3.96,4.18
ARG,Argentina ,1,1,0,0,1,0,1,1,0,0,0,0,0,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,45191965.0,45312281.0,45407904.0,45538401.0,2736690.0,2736690.0,2736690.0,2736690.0,6.95,6.81,6.85,6.62
ARM,Armenia ,1,0,0,0,0,0,0,0,0,0,0,0,0,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,2961500.0,2962300.0,2969200.0,2964300.0,28197.41,28197.09,28198.32,28199.44,5.35,5.49,5.63,5.42
AUS,Australia ,1,0,0,0,0,0,1,0,0,0,0,0,0,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,25649248.0,25685412.0,26014399.0,26652777.0,7692020.0,7692020.0,7692020.0,7692020.0,8.96,8.9,8.71,8.66
AUT,Austria ,1,0,0,0,0,0,0,0,0,0,0,0,0,48716.4098900349,53648.7190742245,52176.6649141178,56033.573792065,8916864.0,8955797.0,9041851.0,9131761.0,82520.0,82520.0,82520.0,82520.0,8.16,8.07,8.2,8.28
AZE,Azerbaijan ,2,1,2,0,1,2,0,1,2,0,1,2,0,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,10093121.0,10137750.0,10141756.0,10153958.0,82646.0,82650.0,82650.0,82650.0,2.68,2.68,2.87,2.8
BHS,"Bahamas, The ",1,1,0,0,1,0,1,1,0,0,1,0,0,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,395863.0,396373.0,397538.0,399440.0,10010.0,10010.0,10010.0,10010.0,9.1,9.1,9.1,9.1
BHR,Bahrain ,2,1,2,0,1,2,0,1,2,0,1,2,0,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,1472204.0,1504365.0,1524693.0,1577059.0,785.0,790.0,790.0,800.0,2.49,2.52,2.52,2.52
BGD,Bangladesh ,1,1,2,0,1,2,0,1,2,0,1,3,0,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,166298024.0,167658854.0,169384897.0,171466990.0,130170.0,130170.0,130260.0,129980.0,5.99,5.99,5.99,5.87
BRB,Barbados ,1,1,0,0,1,0,1,1,0,0,1,0,0,18347.1109131055,18696.7858952957,22164.0260273876,23804.0249914995,281698.0,282147.0,282318.0,282336.0,430.0,430.0,430.0,430.0,9.5,9.5,9.5,9.4
BEL,Belgium ,2,1,0,0,1,0,1,1,0,0,1,0,0,45906.2875805246,51658.238294958,50822.2518538518,54690.0942734964,11538604.0,11586195.0,11680210.0,11787423.0,30494.0,30494.0,30494.0,30494.0,7.51,7.51,7.64,7.64
BLZ,Belize ,1,1,0,0,1,1,1,1,1,0,1,0,0,5227.19363786168,6122.61158580079,7068.45478269722,7459.99815132837,390812.0,395346.0,402733.0,411106.0,22810.0,22810.0,22810.0,22810.0,8.7,8.7,8.7,8.7
BEN,Benin ,1,1,2,0,1,2,0,1,2,0,1,2,0,1200.19426631122,1318.65158107487,1266.42710981159,1394.17784663045,13070169.0,13413417.0,13759501.0,14111034.0,112760.0,112760.0,112760.0,112760.0,4.58,4.19,4.28,4.68
BTN,Bhutan ,1,1,0,0,1,0,0,1,0,0,1,0,0,3191.66906999331,3570.61257980872,3711.32767981591,3839.4093039286,770006.0,775442.0,780914.0,786385.0,38140.0,38140.0,38140.0,38140.0,5.71,5.71,5.54,5.54
BOL,Bolivia ,1,1,2,0,1,2,1,1,2,1,1,2,0,3099.94219053514,3384.84486462654,3643.92826984604,3686.27996442176,11816299.0,11937360.0,12077154.0,12244159.0,1083300.0,1083300.0,1083300.0,1083300.0,5.08,4.65,4.51,4.2
BIH,Bosnia & Herzegovina ,1,0,0,0,0,0,0,0,0,0,0,0,0,6130.31133245161,7295.3438240957,7655.59421024383,8663.02322987879,3299349.0,3244907.0,3204802.0,3185073.0,51200.0,51200.0,51200.0,51200.0,4.84,5.04,5.0,5.0
BWA,Botswana ,1,1,1,0,1,1,0,1,1,0,1,0,0,6323.29749806946,7807.88794500125,8328.70905682185,7826.35376483298,2365894.0,2401441.0,2439892.0,2480244.0,566730.0,566730.0,566730.0,566730.0,7.62,7.73,7.73,7.73
BRA,Brazil ,1,0,1,0,0,1,1,1,1,1,0,1,0,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,208660842.0,209550294.0,210306415.0,211140729.0,8358140.0,8358140.0,8358140.0,8358140.0,6.92,6.86,6.78,6.68
BGR,Bulgaria ,2,0,0,0,0,1,1,0,0,0,0,0,0,10769.9475699414,12972.2173356002,13999.6719197289,15883.8618545581,6550696.0,6507301.0,6465097.0,6446596.0,108560.0,108560.0,108560.0,108560.0,6.71,6.64,6.53,6.41
BFA,Burkina Faso ,1,1,2,0,1,2,0,1,2,0,1,2,0,825.237038782475,895.535288442991,836.118304593682,882.689810086163,21478690.0,21995243.0,22509038.0,23025776.0,273600.0,273600.0,273600.0,273600.0,3.73,3.84,3.08,2.73
BDI,Burundi ,1,1,2,0,1,2,0,1,2,0,1,2,0,210.008139902508,214.091455416133,250.634225368744,192.074305359351,12617036.0,12965481.0,13321097.0,13689450.0,25680.0,25680.0,25680.0,25680.0,2.14,2.13,2.13,2.13
CPV,Cabo Verde,1,1,0,0,1,1,1,1,0,0,1,0,0,3539.22661248299,3971.44409203423,4323.31362032709,4861.29184126229,514679.0,516649.0,519741.0,522331.0,4030.0,4030.0,4030.0,4030.0,7.65,7.65,7.65,7.65
KHM,Cambodia ,1,1,1,0,1,1,0,1,1,0,1,1,0,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,16725474.0,16974305.0,17201724.0,17423880.0,176520.0,176520.0,176520.0,176520.0,3.1,2.9,3.18,3.05
CMR,Cameroon ,1,1,2,0,1,2,0,1,2,0,1,1,0,1555.60370660749,1672.32657340872,1604.87726954895,1736.86091073524,26210558.0,26915758.0,27632771.0,28372687.0,472710.0,472710.0,472710.0,472710.0,2.77,2.56,2.56,2.56
CAN,Canada ,2,0,0,0,0,0,1,0,0,1,0,0,1,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,38028638.0,38239864.0,38935934.0,40083484.0,8965590.0,8788700.0,8788700.0,8788700.0,9.24,8.87,8.88,8.69
CAF,Central African Rep. ,1,1,2,0,1,2,0,1,2,0,1,2,0,462.879071294011,492.263142830507,467.359825026238,495.978897288721,5026628.0,5112100.0,5098039.0,5152421.0,622980.0,622980.0,622980.0,622980.0,1.32,1.43,1.35,1.18
TCD,Chad ,2,1,2,0,1,2,0,1,2,0,1,2,0,866.947814890409,946.358500208374,966.036468278568,989.058528968588,17224679.0,17828273.0,18455316.0,19319064.0,1259200.0,1259200.0,1259200.0,1259200.0,1.55,1.67,1.67,1.67
CHL,Chile ,1,0,1,1,0,1,1,0,1,1,0,1,0,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,19370624.0,19456334.0,19553036.0,19658835.0,742831.64,742831.64,742831.64,742831.64,8.28,7.92,8.22,7.98
CHN,China ,1,1,0,0,1,0,0,1,0,0,1,0,0,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,1411100000.0,1412360000.0,1412175000.0,1410710000.0,9388210.0,9388210.0,9388210.0,9388210.0,2.27,2.21,1.94,2.12
COL,Colombia ,1,1,1,0,1,1,0,1,1,0,1,1,0,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,50629997.0,51188173.0,51737944.0,52321152.0,1109500.0,1109500.0,1109500.0,1109500.0,7.04,6.48,6.72,6.55
COD,"Congo, Dem. Rep. ",1,1,2,0,1,2,0,1,2,0,1,2,0,507.521230077872,558.034077296358,642.612267148918,633.395661686298,95989998.0,99148932.0,102396968.0,105789731.0,2267050.0,2267050.0,2267050.0,2267050.0,1.13,1.4,1.48,1.68
COG,"Congo, Repub. of the ",1,1,2,0,1,2,0,1,2,0,1,2,0,1993.586671931,2516.16255145432,2620.83804304713,2477.97845477092,5752791.0,5892183.0,6035104.0,6182885.0,341500.0,341500.0,341500.0,341500.0,3.11,2.79,2.79,2.79
CRI,Costa Rica ,1,1,1,0,1,1,1,1,1,0,1,1,0,12394.0493969354,12838.1185359009,13625.9008491478,16942.0268119304,5034320.0,5059988.0,5081765.0,5105525.0,51060.0,51060.0,51060.0,51060.0,8.16,8.07,8.29,8.29
CIV,Cote d'Ivoire ,2,1,1,0,1,2,0,1,1,0,1,2,0,2179.72934832935,2455.98127626488,2333.37128334477,2554.67304885576,28915449.0,29639736.0,30395002.0,31165654.0,318000.0,318000.0,318000.0,318000.0,4.11,4.22,4.22,4.22
HRV,Croatia ,1,1,0,0,1,1,1,1,1,1,1,0,0,14808.4620188819,17789.9304736722,18466.0955472648,21865.4562838641,3914206.0,3878981.0,3855641.0,3859686.0,55960.0,55960.0,55960.0,55960.0,6.5,6.5,6.5,6.5
CYP,Cyprus ,1,0,0,0,0,0,1,0,0,1,0,0,1,28649.015625,33734.03515625,33894.44921875,36551.41796875,1302247.0,1317309.0,1331370.0,1344976.0,9240.0,9240.0,9240.0,9240.0,7.56,7.43,7.38,7.38
CZE,Czech Republic ,1,0,0,0,0,0,1,0,0,1,0,0,0,23472.8915454417,27696.4619527544,28282.2236715857,31591.0568216357,10697858.0,10505772.0,10672118.0,10864042.0,77198.53,77186.83,77171.73,77167.31,7.67,7.74,7.97,7.97
DNK,Denmark ,2,0,0,0,0,0,0,0,0,0,0,0,0,60985.4885601514,69727.9873677012,68091.3191138669,68453.8769281145,5831404.0,5856733.0,5903037.0,5946952.0,40000.0,40000.0,40000.0,40000.0,9.15,9.09,9.28,9.28
DMA,Dominica ,1,1,1,0,1,1,1,1,3,0,1,3,0,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,67573.0,67202.0,66826.0,66510.0,750.0,750.0,750.0,750.0,9.3,9.3,9.3,9.3
DOM,Dominican Republic ,1,1,1,0,1,2,0,1,2,0,1,2,0,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,11008300.0,11123476.0,11230734.0,11331265.0,48198.02,48198.02,48198.02,48198.02,6.32,6.45,6.39,6.44
ECU,Ecuador ,1,1,1,0,1,2,0,1,2,0,1,2,0,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,17546065.0,17682454.0,17823897.0,17980083.0,248360.0,248360.0,248360.0,248360.0,6.13,5.71,5.69,5.41
EGY,Egypt,1,1,2,0,1,2,0,1,2,0,1,1,0,3511.11381026379,3827.35415374308,4233.30783744856,3456.78968456253,109315124.0,110957008.0,112618250.0,114535772.0,995450.0,995450.0,995450.0,995450.0,2.93,2.93,2.93,2.93
SLV,El Salvador ,1,1,1,0,1,1,1,1,1,0,1,1,0,3997.19279583709,4642.60743101342,5074.60210221806,5365.44491399171,6234673.0,6255782.0,6280319.0,6309624.0,20720.0,20720.0,20720.0,20720.0,5.9,5.72,5.06,4.71
GNQ,Equatorial Guinea ,1,1,2,0,1,2,0,1,2,0,1,2,0,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,1716468.0,1758786.0,1803545.0,1847549.0,28050.0,28050.0,28050.0,28050.0,1.92,1.92,1.92,1.92
EST,Estonia ,1,0,0,1,0,0,1,0,0,1,0,0,1,23933.9939421065,27953.7670230126,28451.1477825175,30133.304450454,1329522.0,1330932.0,1348840.0,1370286.0,42750.0,42750.0,42730.0,42730.0,7.84,7.84,7.96,7.96
ETH,Ethiopia ,1,1,1,0,1,1,0,1,1,0,1,1,0,905.313159254148,910.947887074508,1011.07332413462,1272.0323857425078,118917671.0,122138588.0,125384287.0,128691692.0,1128571.4,1128505.6,1128498.8,1128498.8,3.38,3.3,3.17,3.37
FJI,Fiji ,1,1,0,0,1,0,1,1,0,1,1,0,1,4844.42127154524,4696.17103944634,5405.03006162671,5888.73667332429,914963.0,916711.0,919422.0,924145.0,18270.0,18270.0,18270.0,18270.0,5.72,5.61,5.55,5.55
FIN,Finland ,2,0,0,0,0,1,0,0,0,0,0,0,0,48828.6846862799,53099.1351400148,50440.560224974,52821.5114340717,5529543.0,5541017.0,5556106.0,5583911.0,303940.0,303947.7,303947.7,303960.0,9.2,9.27,9.29,9.3
FRA,France ,1,0,0,0,0,1,0,0,1,0,0,1,1,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117,67601110.0,67842811.0,68065015.0,68287487.0,538950.0,538950.0,538950.0,538950.0,7.99,7.99,8.07,8.07
GAB,Gabon ,1,1,1,0,1,2,0,1,2,0,1,2,0,6605.80346077904,8181.40914134398,8409.20741452279,8071.39777400455,2322539.0,2376722.0,2430747.0,2484789.0,257670.0,257670.0,257670.0,257670.0,3.54,3.4,3.4,2.18
GMB,"Gambia, The ",1,1,3,0,1,1,1,1,1,1,1,1,0,720.335143352133,781.890925169531,836.244875582631,888.157407441902,2515733.0,2576010.0,2636470.0,2697845.0,10120.0,10120.0,10120.0,10120.0,4.49,4.41,4.47,4.47
GEO,Georgia ,1,0,1,1,0,0,0,0,0,0,0,0,0,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,3722716.0,3708610.0,3712502.0,3715483.0,69490.0,69490.0,69490.0,69490.0,5.31,5.12,5.2,5.2
DEU,Germany ,2,0,0,1,0,0,1,0,0,1,0,0,1,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,83160871.0,83196078.0,83797985.0,83901923.0,349390.0,349390.0,349360.0,349430.0,8.67,8.67,8.8,8.8
GHA,Ghana ,1,0,1,0,0,1,0,0,1,0,0,1,0,2195.45481659987,2445.18662529344,2229.89122647803,2383.90410483418,31887809.0,32518665.0,33149152.0,33787914.0,227530.0,227533.0,227533.0,227533.0,6.5,6.5,6.43,6.3
GRC,Greece ,2,0,0,0,0,1,0,0,0,0,0,0,0,17886.733165236,20654.7001960815,20971.8349258283,23400.7278817691,10698599.0,10569207.0,10436882.0,10405588.0,128900.0,128900.0,128900.0,128900.0,7.39,7.56,7.97,8.14
GRD,Grenada ,1,1,1,0,1,2,1,1,1,0,1,1,1,8968.55890108484,9622.24050459345,10535.4588771454,11308.2874249451,116341.0,116688.0,116913.0,117081.0,340.0,340.0,340.0,340.0,8.9,8.9,8.9,8.9
GTM,Guatemala ,1,0,1,0,0,1,0,0,1,0,0,0,0,4477.61761796418,4912.62225721201,5358.70127494396,5758.30876298845,17357325.0,17598650.0,17847877.0,18124838.0,107160.0,107160.0,107160.0,107160.0,4.97,4.62,4.68,4.47
GUY,Guyana ,1,0,0,1,0,0,1,0,0,1,0,0,1,6775.70939096303,9860.87014834386,17913.4928066879,20473.7002190617,807481.0,815482.0,821637.0,826353.0,211140.0,211140.0,211140.0,211140.0,6.01,6.25,6.34,6.26
HTI,Haiti ,1,1,1,0,1,1,0,1,1,0,1,3,0,1290.32538667383,1835.44394078496,1760.62635668777,1705.75808460999,11243848.0,11374586.0,11503606.0,11637398.0,27560.0,27560.0,27560.0,27560.0,4.22,3.48,2.81,2.81
HND,Honduras ,1,1,1,0,1,1,1,1,1,1,1,1,1,2307.61494319511,2735.14751503977,3003.28996826399,3227.45762509776,10119640.0,10289877.0,10463872.0,10644851.0,111890.0,111890.0,111890.0,111890.0,5.36,5.1,5.15,4.98
HUN,Hungary ,1,1,1,0,1,1,0,0,0,0,0,0,0,16386.9308821258,19030.628130329,18483.6366867035,22312.1790289763,9670419.0,9630932.0,9605074.0,9592186.0,91260.0,91260.0,91260.0,91260.0,6.56,6.5,6.64,6.72
ISL,Iceland ,1,0,0,1,0,0,1,0,0,1,0,0,1,59023.5663465778,69178.4046960961,75121.0152280628,79960.0961535662,366463.0,372520.0,382003.0,393349.0,100830.0,100830.0,100830.0,100830.0,9.37,9.18,9.52,9.45
IND,India ,2,0,1,0,1,1,0,1,1,0,0,1,0,1907.04251637669,2239.61384367482,2347.44829434623,2530.12031278204,1402617695.0,1414203896.0,1425423212.0,1438069596.0,2973190.0,2973190.0,2973190.0,2973190.0,6.61,6.91,7.04,7.18
IDN,Indonesia ,1,1,1,0,1,1,0,1,1,0,1,1,0,3853.70288774146,4287.17313995098,4730.83484836107,4876.30774512252,274814866.0,276758053.0,278830529.0,281190067.0,1877519.0,1892555.47,1892555.47,1892555.47,6.3,6.71,6.71,6.53
IRN,Iran ,2,1,2,0,1,2,0,1,2,0,1,2,0,2988.78122414716,4334.79268631354,4405.09291519791,4465.63766853306,87723443.0,88455488.0,89524246.0,90608707.0,1622500.0,1622500.0,1622500.0,1622500.0,2.2,1.95,1.96,1.96
IRL,Ireland ,1,0,0,0,0,0,1,0,0,1,0,0,0,86622.5067251295,103961.976350649,105234.511567597,103887.800388081,5039747.0,5110585.0,5212836.0,5307600.0,68890.0,68890.0,68890.0,68890.0,9.05,9.0,9.13,9.19
ISR,Israel ,2,1,0,0,1,1,1,1,0,1,1,0,0,44575.5719045492,52270.9040241956,54949.621556429,52003.7200729997,9215100.0,9371400.0,9557500.0,9849000.0,21640.0,21640.0,21640.0,21640.0,7.84,7.97,7.93,7.8
ITA,Italy ,2,0,0,0,0,0,1,0,0,1,0,0,1,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633,59438851.0,59133173.0,59013667.0,58993475.0,295717.0,295717.0,295720.0,295720.0,7.74,7.68,7.69,7.69
JAM,Jamaica ,2,0,0,0,0,1,0,0,0,0,0,0,0,4879.44025773374,5165.33782130331,6022.15339791763,6839.72502408181,2830739.0,2837682.0,2839144.0,2839786.0,10830.0,10830.0,10830.0,10830.0,7.13,7.13,7.13,7.06
JPN,Japan ,1,0,0,0,0,1,0,0,1,0,0,1,0,40028.7341726762,40094.5599795288,34065.6438962526,33836.1756271617,126261000.0,125681593.0,125124989.0,124516650.0,364500.0,364500.0,364500.0,364569.27,8.13,8.15,8.33,8.4
